Country Name,Country Code,Year,Electricity_Consumption_Value,Coal_Percentage_Value,Electricity_Consumption_has_data,Coal_Percentage_has_data
Central Europe and the Baltics,CEB,2018,4522.572750777643,48.94709617913387,1,1
Central Europe and the Baltics,CEB,2019,4502.491226708198,45.03593962917278,1,1
Central Europe and the Baltics,CEB,2020,4409.520679106079,40.11088016503094,1,1
Central Europe and the Baltics,CEB,2021,4690.3604276849155,42.569719978482,1,1
Central Europe and the Baltics,CEB,2022,4545.613022464624,44.1550410194478,1,1
Central Europe and the Baltics,CEB,2023,4358.075931248067,40.98224389560997,1,1
Chile,CHL,1991,1297.8599583340988,21.291518460998947,1,1
Chile,CHL,1992,1439.7989942365548,11.630818763135537,1,1
Chile,CHL,1993,1497.843326850219,11.869349664625254,1,1
Chile,CHL,1994,1572.05906348699,18.566285556039087,1,1
Chile,CHL,1995,1727.7718537154083,22.803011381881756,1,1
Chile,CHL,1996,1907.3511783525041,30.9081443399603,1,1
Chile,CHL,1997,2049.0966174704004,28.152686428206746,1,1
Chile,CHL,1998,2155.3697269510258,31.941198006139288,1,1
Chile,CHL,1999,2368.5135227669803,33.26387079968742,1,1
Chile,CHL,2000,2473.2909411244523,21.12630370776985,1,1
Chile,CHL,2001,2600.573366907575,11.372880957419294,1,1
Chile,CHL,2002,2698.0200751359334,11.568317647867007,1,1
Chile,CHL,2003,2866.1285990572583,10.416622178564564,1,1
Chile,CHL,2004,3031.817122066269,15.071863771285738,1,1
Chile,CHL,2005,3064.2045540039753,13.741330691258288,1,1
Chile,CHL,2006,3192.2210622625753,19.15943600867679,1,1
Chile,CHL,2007,3311.1436761756427,22.66147088482114,1,1
Chile,CHL,2008,3312.372453736531,23.636607262494973,1,1
Chile,CHL,2009,3272.5973150310256,24.533118144988634,1,1
Chile,CHL,2010,3284.062405857848,27.908131184432605,1,1
Chile,CHL,2011,3559.1663719808926,29.85558413099387,1,1
Chile,CHL,2012,3781.69701341717,36.32492724118651,1,1
Chile,CHL,2013,3854.5246154154074,41.38096215698351,1,1
Chile,CHL,2014,3716.3163523461317,36.75603861320368,1,1
Chile,CHL,2015,3973.209771368809,37.166839048452545,1,1
Chile,CHL,2016,4185.584660085954,38.14001563012076,1,1
Chile,CHL,2017,4053.47998595604,36.8868245156905,1,1
Chile,CHL,2018,4172.296781417178,36.30478873923657,1,1
Chile,CHL,2019,4218.620687930832,33.27183708223941,1,1
Chile,CHL,2020,4166.721732867253,31.03830081078185,1,1
Chile,CHL,2021,4306.720885856503,29.61326092390193,1,1
Chile,CHL,2022,4422.433426706727,23.639020424307013,1,1
Chile,CHL,2023,4322.992690055133,16.055533413046366,1,1
China,CHN,1991,548.9537531065886,73.50791366906475,1,1
China,CHN,1992,604.6945414903388,75.03179408835507,1,1
China,CHN,1993,662.6370455856895,73.50378519058349,1,1
China,CHN,1994,727.1073596596844,74.78962989297007,1,1
China,CHN,1995,770.2802411908486,73.74895080334235,1,1
China,CHN,1996,821.0808591022956,76.19760423609569,1,1
China,CHN,1997,852.7406865435034,76.3592889439804,1,1
China,CHN,1998,870.6172223183983,75.63614561027838,1,1
China,CHN,1999,913.9634479758289,77.67118548108074,1,1
China,CHN,2000,992.9433847201708,78.21363714818055,1,1
China,CHN,2001,1076.5491213586508,76.25245703937138,1,1
China,CHN,2002,1194.8562949078414,77.54388319416938,1,1
China,CHN,2003,1379.4846321018317,79.5560393666378,1,1
China,CHN,2004,1585.8387824778658,78.17433340201188,1,1
China,CHN,2005,1782.3121529162704,79.19611784363396,1,1
China,CHN,2006,2039.0146603408034,80.33949602819864,1,1
China,CHN,2007,2325.9267690276465,80.95423534107911,1,1
China,CHN,2008,2446.3690545840236,78.7505137453006,1,1
China,CHN,2009,2612.4566200441686,78.38266989424937,1,1
China,CHN,2010,2943.58995443689,76.98929156963902,1,1
China,CHN,2011,3295.784868051761,78.69480662824091,1,1
China,CHN,2012,3466.020277804444,75.51782172567528,1,1
China,CHN,2013,3757.185088465714,75.13147466968177,1,1
China,CHN,2014,4006.168267899057,73.00387568249039,1,1
China,CHN,2015,4017.0778194889335,70.18840207132102,1,1
China,CHN,2016,4237.545305845985,68.41769091385936,1,1
China,CHN,2017,4571.042425414424,68.02649614552239,1,1
China,CHN,2018,4842.206792323705,66.52944772830651,1,1
China,CHN,2019,5082.387790402381,64.96867951324757,1,1
China,CHN,2020,5261.9410389058185,63.45501875921945,1,1
China,CHN,2021,5847.802260047013,63.00095208180531,1,1
China,CHN,2022,6112.135535609963,61.71866088279915,1,1
China,CHN,2023,6523.719261931935,61.34080611340722,1,1
Colombia,COL,1991,888.5633408193007,10.281157069478237,1,1
Colombia,COL,1992,793.9735379475661,14.172535211267606,1,1
Colombia,COL,1993,889.276715894236,11.281412899712128,1,1
Colombia,COL,1994,926.6552814454582,8.551281122461301,1,1
Colombia,COL,1995,936.3305817549681,10.00327746043637,1,1
Colombia,COL,1996,926.4250401334293,4.319450209861169,1,1
Colombia,COL,1997,932.6489328226344,6.8669431678062995,1,1
Colombia,COL,1998,907.8072134793018,5.966991112991959,1,1
Colombia,COL,1999,839.45169691542,4.565410303115222,1,1
Colombia,COL,2000,857.4330158756471,5.103058125246342,1,1
Colombia,COL,2001,877.9815651069013,5.436383723071258,1,1
Colombia,COL,2002,885.3387057256251,5.123423903391937,1,1
Colombia,COL,2003,888.2580291009482,6.29041613852665,1,1
Colombia,COL,2004,924.0507904415866,4.013996701926557,1,1
Colombia,COL,2005,920.577777143746,4.904258700143016,1,1
Colombia,COL,2006,972.6855378045683,5.458231049616901,1,1
Colombia,COL,2007,1000.2457709744803,6.297074159907299,1,1
Colombia,COL,2008,999.8215673516518,5.412458664760032,1,1
Colombia,COL,2009,1077.2834855692058,7.411295402057528,1,1
Colombia,COL,2010,1132.3589963034633,6.754193537745963,1,1
Colombia,COL,2011,1175.9269533319484,3.698522199173461,1,1
Colombia,COL,2012,1205.5566772195439,5.3683564424998815,1,1
Colombia,COL,2013,1460.20990308805,8.21880785394792,1,1
Colombia,COL,2014,1383.4297542926106,7.724561008554705,1,1
Colombia,COL,2015,1512.946365271065,9.020815308667107,1,1
Colombia,COL,2016,1478.4291385264894,8.0859375,1,1
Colombia,COL,2017,1533.0635229071745,4.013622603430878,1,1
Colombia,COL,2018,1466.900250721757,5.683878793942198,1,1
Colombia,COL,2019,1531.8190065176946,10.149847665236585,1,1
Colombia,COL,2020,1470.2746279048763,11.812844913198155,1,1
Colombia,COL,2021,1514.1192868907433,5.3858233992433435,1,1
Colombia,COL,2022,1528.0854608370212,5.999395292585357,1,1
Colombia,COL,2023,1552.832781663523,10.168143476458793,1,1
Croatia,HRV,1991,2608.8595873510512,4.904125508425334,1,1
